Atleta,Criterio,Pontuacao
João Silva,Força,85
João Silva,Agilidade,78
João Silva,Velocidade,82
João Silva,Controle,88
João Silva,Comando,80
João Silva,Prancha Esquerda,75
João Silva,Prancha Direita,79
João Silva,Bodydrag,90
João Silva,Contra Vento,83
Maria Santos,Força,92
Maria Santos,Agilidade,88
Maria Santos,Velocidade,90
Maria Santos,Controle,85
Maria Santos,Comando,87
Maria Santos,Prancha Esquerda,89
Maria Santos,Prancha Direita,91
Maria Santos,Bodydrag,86
Maria Santos,Contra Vento,88
Pedro Costa,Força,70
Pedro Costa,Agilidade,85
Pedro Costa,Velocidade,88
Pedro Costa,Controle,72
Pedro Costa,Comando,75
Pedro Costa,Prancha Esquerda,82
Pedro Costa,Prancha Direita,80
Pedro Costa,Bodydrag,78
Pedro Costa,Contra Vento,76
